crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Maize,Black soil,55.31,6.71,21.5,85.03,69.53,0.659,Punjab,0
Potato,Alluvial soil,64.66,6.21,18.98,80.97,47.87,0.705,Assam,95.85
Maize,Alluvial soil,49.67,6.9,26.18,99.47,62.7,0.551,Tamil Nadu,108.46
Mustard,Black soil,51.39,7.09,20.91,95.17,55.18,0.668,Punjab,0
Groundnut,Black soil,33.42,7.48,27.31,57.79,51.66,0.526,Karnataka,96.52
Wheat,Black soil,43.11,7.43,14.2,74.4,46.03,0.468,West Bengal,116.6
Cotton,Red and Yellow soil,56.66,6.7,27.8,149.56,69.45,0.667,Bihar,0
Cabbage,Alluvial soil,59.61,6.54,23.25,130.73,62.92,0.657,Uttar Pradesh,115.35
Pumpkin,Alluvial soil,66.05,6.67,32.85,106.37,70.14,0.718,Rajasthan,104.7
Soybean,Forest and Mountain soil,92.12,6.91,26.36,377.37,77.03,0.84,Bihar,0
Maize,Alluvial soil,79.39,6.26,22.71,365.04,89.3,0.806,Karnataka,0
Groundnut,Red and Yellow soil,42.32,6.6,29.13,31.94,53.59,0.609,Rajasthan,118.37
Chickpea,Alluvial soil,35.82,6.89,26.06,81.01,56,0.455,Uttar Pradesh,70.7
Maize,Forest and Mountain soil,75.9,7.05,18.58,253.65,86.94,0.932,Haryana,0
Wheat,Black soil,70.77,6.81,21.97,239.95,94.06,0.781,Uttar Pradesh,0
Maize,Forest and Mountain soil,45.9,6.45,18.57,110.16,61.93,0.679,Tamil Nadu,0
Pumpkin,Red and Yellow soil,45.77,5.83,20,134.28,76.59,0.751,Karnataka,113.47
Mustard,Black soil,37.09,7.97,16.4,35.94,44.49,0.389,Uttar Pradesh,56.99
Chilli,Alluvial soil,58.06,6.74,23.95,128.67,80.63,0.782,Tamil Nadu,0
Tomato,Black soil,59.65,7.73,22.23,185.49,68.62,0.757,Maharashtra,0
Tomato,Red and Yellow soil,49.49,7.49,26.64,110.74,65.94,0.842,Tamil Nadu,23.9
Cucumber,Alluvial soil,57.12,6.47,28.03,34.51,75.28,0.599,Karnataka,127.62
Cucumber,Alluvial soil,62,6.05,29.83,228.83,73.69,0.879,Punjab,0
Tomato,Red and Yellow soil,42.22,5.89,24.69,71.48,64.14,0.747,Telangana,121.15
Mustard,Black soil,31.17,7.55,18.59,45.55,44.12,0.56,Rajasthan,58.2
Tomato,Black soil,52.37,7.21,34.81,20,73.47,0.568,Maharashtra,117.98
Sugarcane,Black soil,78.56,7.29,18.78,383.86,82.26,0.787,Tamil Nadu,0
Pumpkin,Red and Yellow soil,52.19,6.32,26.56,64.93,60.82,0.694,West Bengal,130.24
Cucumber,Red and Yellow soil,57.05,6.45,31.27,143.89,55.46,0.632,Gujarat,111.94
Wheat,Forest and Mountain soil,73.98,7.66,23.03,335.86,84.85,0.878,Uttar Pradesh,0
Chilli,Black soil,44.18,6.94,27.79,114.15,54.26,0.676,Rajasthan,100.35
Chickpea,Alluvial soil,57,6.88,29.34,148.09,74.39,0.735,Tamil Nadu,0
Rice,Black soil,74.64,7.57,29.63,383.18,94.23,0.81,Karnataka,0
Chickpea,Black soil,53.25,7.67,27.61,145.55,74.8,0.718,Madhya Pradesh,0
Cabbage,Black soil,68.24,7.25,25.22,137.02,56.14,0.603,West Bengal,99.39
Chilli,Black soil,91.46,6.51,20.53,305.11,83.06,0.8,West Bengal,0
Brinjal,Red and Yellow soil,58.56,7.08,25.75,215.62,79.18,0.683,Madhya Pradesh,0
Maize,Red and Yellow soil,49.08,7.71,24.44,139.32,71.38,0.863,Bihar,0
Lentil,Black soil,43.24,7.06,17.74,45.23,49.24,0.431,Chhattisgarh,57.75
Cauliflower,Forest and Mountain soil,94.19,6.79,23.94,295.34,85.72,0.773,Haryana,0
Garlic,Alluvial soil,42.8,6.21,24.8,63.78,41.61,0.731,Bihar,100.49
Rice,Black soil,72.12,7.39,28.72,391.55,85.19,0.893,Punjab,0
Pumpkin,Red and Yellow soil,61.54,5.67,20,68.03,69.74,0.754,Bihar,120.57
Tomato,Forest and Mountain soil,56.08,7.39,29.82,230.06,82.54,0.853,Madhya Pradesh,0
Garlic,Black soil,57.85,6,25.25,174.37,66.1,0.761,Madhya Pradesh,0
Tomato,Forest and Mountain soil,51.84,7.55,26.18,81.02,55.67,0.652,West Bengal,28.53
Chickpea,Black soil,46.1,6.67,18.52,113.46,73.14,0.887,Tamil Nadu,0
Garlic,Alluvial soil,48.79,6.23,22.7,80.68,63.36,0.462,Maharashtra,91.84
Mustard,Red and Yellow soil,52.8,7.25,23.3,102.21,68.8,0.838,Maharashtra,0
Soybean,Forest and Mountain soil,58.54,6.76,25.82,87.14,62.41,0.726,Maharashtra,0
Cabbage,Black soil,80.05,7.33,29.74,245.65,93.62,0.703,Haryana,0
Cabbage,Red and Yellow soil,87.87,7.4,27.36,327.19,78.54,0.677,Karnataka,0
Groundnut,Alluvial soil,43.89,7.26,25.31,106.27,71.99,0.52,Maharashtra,87.32
Sugarcane,Alluvial soil,83.15,6.41,18.73,301.53,83.79,0.907,Bihar,0
Cauliflower,Red and Yellow soil,80.5,6.8,20.97,334.51,82.71,0.773,Haryana,0
Lentil,Red and Yellow soil,39.79,6.92,23.95,67.71,67.09,0.471,West Bengal,71.85
Rice,Alluvial soil,76.9,6.34,27.31,170.52,74.94,0.62,Haryana,144.43
Mustard,Red and Yellow soil,33.23,6.43,22.57,50.64,62.82,0.54,Rajasthan,72.09
Chilli,Alluvial soil,65.02,7.35,26.32,231.35,77.52,0.891,Maharashtra,0
Sugarcane,Laterite soil,63.02,5.86,30.99,80,80.06,0.768,Uttar Pradesh,278.68
Maize,Forest and Mountain soil,49.37,6.49,25.38,134.28,75.79,0.738,Maharashtra,104.56
Sugarcane,Black soil,78.09,7.86,29.55,268.89,79.73,0.626,Uttar Pradesh,171.7
Chilli,Black soil,56.94,7.61,35,140.22,50,0.641,Madhya Pradesh,89.78
Cotton,Black soil,47.54,7.76,34.88,171.35,62.13,0.583,Gujarat,67.39
Mustard,Black soil,44.61,7.6,16.27,62.53,48.76,0.566,Haryana,46.54
Groundnut,Red and Yellow soil,37.99,6.33,22.99,96.55,50.83,0.659,Rajasthan,102.36
Lentil,Alluvial soil,45.11,7.16,25.33,157.16,57.27,0.817,West Bengal,0
Mustard,Alluvial soil,30.86,6.68,27.05,42.3,59.61,0.592,Uttar Pradesh,66.71
Sugarcane,Red and Yellow soil,62.29,6.88,29.79,90.05,66.9,0.641,Andhra Pradesh,256.01
Cucumber,Alluvial soil,53.95,6.3,32.13,48.28,55.29,0.56,Uttar Pradesh,128.12
Rice,Black soil,77.35,7.1,22.28,298.27,76.74,0.77,Tamil Nadu,0
Cauliflower,Forest and Mountain soil,65.36,6.37,17.18,52.17,59.97,0.749,Karnataka,127.41
Rice,Black soil,65.87,6.97,26.97,156.19,60,0.777,Haryana,175.53
Potato,Alluvial soil,60.22,6,19.52,61.16,66.35,0.82,Jharkhand,103.69
Pumpkin,Black soil,59.66,6.98,27.05,122.01,74.3,0.583,Bihar,96.73
Cucumber,Red and Yellow soil,61.07,6.04,30,48.02,55,0.661,West Bengal,132.86
Lentil,Black soil,58.89,6.88,23.84,125.3,63.24,0.8,Madhya Pradesh,0
Chickpea,Red and Yellow soil,35.65,6.21,21.75,83.25,65.17,0.62,Madhya Pradesh,79.05
Cauliflower,Forest and Mountain soil,58.88,6.79,27.84,122.63,65,0.789,Tamil Nadu,117.95
Lentil,Alluvial soil,43.41,6.85,26.78,46.84,54.15,0.412,Jharkhand,65.06
Maize,Red and Yellow soil,49.97,6.17,30.63,120.05,62.52,0.662,West Bengal,125.32
Cucumber,Alluvial soil,64.72,6.81,28.06,221.81,70.78,0.8,Maharashtra,0
Maize,Alluvial soil,62.51,6.64,33.3,159.26,50.49,0.539,Madhya Pradesh,88.08
Wheat,Black soil,45.49,7.72,16.77,74.1,54.91,0.7,Karnataka,113.49
Cucumber,Red and Yellow soil,93.66,7.15,23.91,387.53,94.19,0.871,Punjab,0
Maize,Alluvial soil,55.25,6.88,22.83,160.57,64.78,0.704,Maharashtra,87.6
Potato,Forest and Mountain soil,79.77,7.16,29.51,256.52,75.1,0.882,Maharashtra,0
Maize,Red and Yellow soil,51.03,5.89,29.45,125.69,63.86,0.673,West Bengal,122.58
Chilli,Black soil,50.6,6.91,21,95.71,50,0.629,Rajasthan,97.71
Cabbage,Black soil,71.96,7.02,27.63,376.4,75.38,0.855,West Bengal,0
Chilli,Alluvial soil,61.42,6.55,25.42,69.54,63.65,0.728,Karnataka,104.97
Sugarcane,Alluvial soil,66.89,7.1,25.59,158.59,67.77,0.709,Gujarat,214.02
Maize,Alluvial soil,58.57,6.9,31.86,102.31,61.06,0.698,Karnataka,0
Mustard,Black soil,88.36,7.78,22.69,280.67,88.76,0.83,Uttar Pradesh,0
Maize,Black soil,93.38,7.56,19.72,364.6,83.51,0.945,Tamil Nadu,0
Mustard,Black soil,55.18,7,18.57,139.15,74.12,0.779,Gujarat,0
Potato,Black soil,64.93,7.41,18.22,194.4,72.48,0.871,Haryana,0
Maize,Red and Yellow soil,64,6.33,20.07,126.29,55.7,0.679,Madhya Pradesh,0
Chickpea,Red and Yellow soil,52,6.54,22.03,52.41,61.72,0.709,Tamil Nadu,37.93
Wheat,Red and Yellow soil,77.04,6.2,20.03,376.99,90.13,0.838,West Bengal,0
Tomato,Red and Yellow soil,55.37,5.81,25.53,79.28,55.79,0.719,Andhra Pradesh,111.73
Mustard,Red and Yellow soil,54.36,7.17,25.81,149.63,57.32,0.661,West Bengal,0
Chickpea,Red and Yellow soil,41.69,6.39,20.11,56.31,49.14,0.619,Karnataka,80.93
Soybean,Alluvial soil,48.93,7.13,22.32,75.14,45,0.656,Uttar Pradesh,99.69
Chickpea,Black soil,37.83,7.55,20.89,51.2,43.11,0.549,Haryana,69.11
Lentil,Forest and Mountain soil,48.4,6.88,23.05,170.46,58.73,0.674,West Bengal,0
Pumpkin,Forest and Mountain soil,89.5,7.73,29.17,225.86,91.61,0.865,Madhya Pradesh,0
Cucumber,Alluvial soil,61.66,6.71,26.94,91.24,65.22,0.629,Bihar,110.16
Lentil,Alluvial soil,33.62,6.94,22.06,72.44,39.6,0.647,West Bengal,63.42
Sugarcane,Red and Yellow soil,79.96,6.38,25.88,222.93,78.42,0.771,Bihar,0
Cauliflower,Red and Yellow soil,74.98,7.02,24.11,235.39,93.83,0.837,Madhya Pradesh,0
Wheat,Forest and Mountain soil,51.24,6.34,23.18,108.25,71.96,0.792,Karnataka,0
Sugarcane,Laterite soil,59.63,5.89,22.91,186.81,75.7,0.825,Haryana,249.97
Maize,Forest and Mountain soil,44.09,6.15,28.3,74.85,58.7,0.7,Karnataka,124.58
Sugarcane,Black soil,60.36,7.55,32.53,220.76,88.26,0.68,Punjab,195.86
Sugarcane,Alluvial soil,71.11,7.3,21.55,307.29,83.95,0.704,Madhya Pradesh,0
Onion,Alluvial soil,60.66,6.69,21.92,35.68,59.45,0.676,Rajasthan,97.35
Cotton,Alluvial soil,52.03,6.7,26.07,34.85,50.18,0.578,Madhya Pradesh,105.29
Chickpea,Alluvial soil,50.2,6.4,30.48,93.18,69.22,0.742,Uttar Pradesh,0
Lentil,Black soil,36.68,7.4,23.4,46.98,52.08,0.527,Chhattisgarh,62.38
Lentil,Red and Yellow soil,33.36,7.13,23.81,70.32,46.41,0.451,Rajasthan,74.5
Garlic,Alluvial soil,42.14,6.78,17.37,28.29,43.85,0.662,Bihar,106.79
Chilli,Black soil,56.58,7.12,23.5,108.87,72.84,0.633,Gujarat,92.09
Lentil,Alluvial soil,49.8,6.89,27.6,140.63,74.1,0.762,Uttar Pradesh,0
Garlic,Black soil,84.53,6.45,21.17,325.9,82.77,0.937,Maharashtra,0
Soybean,Alluvial soil,49.15,7.34,24.04,121.69,77.23,0.62,Telangana,88.6
Cabbage,Black soil,63.17,7.49,26.35,132.21,69.17,0.826,Assam,104.09
Wheat,Black soil,48.38,7.65,11.78,94.95,37.97,0.571,West Bengal,107.42
Soybean,Alluvial soil,80.71,7.58,27.92,390,80.49,0.945,Tamil Nadu,0
Cauliflower,Alluvial soil,67.24,6.61,19.87,74.38,81.27,0.877,Tamil Nadu,126.81
Cucumber,Alluvial soil,65.25,5.92,28.5,30,59.78,0.755,Bihar,124.1
Cotton,Red and Yellow soil,58.64,7.62,19.81,137.78,62.96,0.716,Maharashtra,0
Soybean,Red and Yellow soil,52.84,6.8,23.68,176.09,73.3,0.748,West Bengal,0
Mustard,Red and Yellow soil,37.76,6.63,25.29,55.5,53.26,0.401,Haryana,69.43
Sugarcane,Forest and Mountain soil,61.76,6.98,27.97,126.38,76.64,0.614,Tamil Nadu,10.04
Lentil,Alluvial soil,47.23,6.75,18.58,82.39,63.42,0.746,Madhya Pradesh,0
Garlic,Alluvial soil,45.39,7.8,29.85,67.86,71.12,0.771,Uttar Pradesh,35.49
Brinjal,Red and Yellow soil,52.16,6.07,29.8,138.78,70.42,0.67,Madhya Pradesh,0
Chickpea,Black soil,63.49,6.26,25.48,106.55,74.17,0.79,Maharashtra,0
Maize,Alluvial soil,45.68,6.63,27.81,99.12,62.2,0.617,Bihar,33.48
Chilli,Red and Yellow soil,56.48,7.03,25.84,131.47,81.1,0.703,Punjab,0
Maize,Red and Yellow soil,47.89,5.75,29.1,123.57,55.56,0.684,Haryana,125.14
Sugarcane,Alluvial soil,69.99,6.95,25.09,180.91,81.96,0.835,Haryana,206.32
Sugarcane,Forest and Mountain soil,71.21,7.47,24.4,342.27,85.21,0.746,Uttar Pradesh,0
Cotton,Black soil,47.13,7.81,32.23,172.53,58.05,0.61,Tamil Nadu,66.28
Cotton,Black soil,55.97,7.8,32.06,121.83,60.22,0.688,Punjab,73.59
Onion,Black soil,45.56,7.31,27.34,67.52,61.71,0.659,Andhra Pradesh,95.62
Cucumber,Forest and Mountain soil,68.26,6.35,20.7,240.33,72.01,0.686,Haryana,0
Tomato,Red and Yellow soil,71.98,6.12,19.11,336.23,82.28,0.817,West Bengal,0
Groundnut,Red and Yellow soil,47.02,6,29.7,60.6,67.33,0.727,Uttar Pradesh,108.62
Rice,Red and Yellow soil,82.18,6.15,25.02,317.36,92.19,0.796,Tamil Nadu,0
Lentil,Black soil,41.45,7.4,20,34.51,44,0.4,Madhya Pradesh,61.47
Groundnut,Forest and Mountain soil,83.03,6.73,27.83,344.06,93.77,0.71,Madhya Pradesh,0
Cucumber,Alluvial soil,62.05,6.17,24.59,225.63,81.08,0.877,Bihar,0
Potato,Forest and Mountain soil,73.23,7.51,21.86,304.42,83.63,0.876,Punjab,0
Rice,Peaty and Marshy soil,89,5.61,25.81,233.67,95,0.678,Karnataka,89.27
Mustard,Alluvial soil,34.26,7.1,20.11,70.96,41.83,0.533,Madhya Pradesh,55.76
Groundnut,Red and Yellow soil,37.58,6.58,27.92,61.59,78.8,0.84,Karnataka,113.32
Garlic,Red and Yellow soil,55.48,6.85,22.23,166.97,81.54,0.65,Haryana,0
Brinjal,Black soil,63.82,6.52,28.3,246.91,80.7,0.702,Uttar Pradesh,0
Sugarcane,Alluvial soil,80.91,6.9,30.44,216.6,79.59,0.798,Bihar,193.52
Onion,Red and Yellow soil,58.4,6.51,21.78,207.96,71.09,0.798,Bihar,0
Cabbage,Black soil,67.44,7.2,23.2,107.57,55,0.639,West Bengal,106.42
Garlic,Red and Yellow soil,57,6.05,26.4,217.14,73.11,0.799,Haryana,0
Sugarcane,Black soil,78.25,6.26,27.09,399.89,77.53,0.813,Gujarat,0
Groundnut,Red and Yellow soil,76.02,6.57,19.12,398.91,83.29,0.739,Bihar,0
Soybean,Red and Yellow soil,60.09,6.69,21.46,141.73,57.59,0.699,Haryana,0
Cucumber,Black soil,61.13,7.15,27.21,88.92,83.88,0.55,Tamil Nadu,106.2
Chickpea,Red and Yellow soil,62.84,6.66,28.94,84.1,56.74,0.75,Uttar Pradesh,0
Cucumber,Black soil,78.31,6.4,23.26,353.41,92.6,0.821,Madhya Pradesh,0
Brinjal,Red and Yellow soil,88.3,6.95,19.05,244.31,78.69,0.8,Madhya Pradesh,0
Tomato,Red and Yellow soil,59.63,6.31,18.34,223.78,74.65,0.797,Maharashtra,0
Mustard,Red and Yellow soil,35.05,6.56,22.32,86.7,55.13,0.595,Haryana,62.1
Cauliflower,Forest and Mountain soil,71.05,6.35,18.34,92.02,55,0.845,Punjab,114.5
Lentil,Black soil,38.62,7.92,20.54,83.96,45.28,0.496,Chhattisgarh,53.16
Pumpkin,Black soil,87.67,7.08,28.96,226.09,77.17,0.701,Uttar Pradesh,0
Brinjal,Alluvial soil,59.45,7.66,27.22,186.86,75.36,0.735,Gujarat,0
Garlic,Forest and Mountain soil,76.83,6.04,28.12,316.7,76.44,0.801,Tamil Nadu,0
Rice,Alluvial soil,79.48,6.6,24.83,371.53,80.65,0.875,West Bengal,0
Groundnut,Alluvial soil,43.94,6.33,30.42,82.28,53.16,0.55,Karnataka,95.33
Onion,Alluvial soil,74.76,6.17,24.5,202.27,92.09,0.765,Tamil Nadu,0
Chickpea,Alluvial soil,40.75,7.46,20.2,73.48,47.46,0.535,Haryana,67.99
Garlic,Alluvial soil,48.67,6.49,27.52,93.53,68.7,0.594,Punjab,90.62
Maize,Forest and Mountain soil,56.82,7.68,27.42,92.92,74.93,0.705,Tamil Nadu,0
Brinjal,Forest and Mountain soil,51.07,6.43,20.95,118.32,71.69,0.757,Madhya Pradesh,19.89
Garlic,Red and Yellow soil,55.3,6.9,22.48,245.32,65.91,0.834,Gujarat,0
Mustard,Alluvial soil,39.06,7.09,21.13,33.99,33.63,0.567,Uttar Pradesh,62.91
Cucumber,Black soil,57.21,7.12,27.84,173.49,83.37,0.674,Karnataka,0
Potato,Red and Yellow soil,51.53,6.43,19.27,39.51,54.14,0.629,Haryana,124.21
Potato,Red and Yellow soil,52.69,6.07,24.56,82.54,57.38,0.573,Assam,114.87
Cauliflower,Black soil,65.45,7.11,19.05,103.93,60.15,0.81,Karnataka,110.17
Maize,Alluvial soil,49.64,6.92,24.95,136.03,65.76,0.677,Haryana,0
Chickpea,Alluvial soil,39.79,6.92,20.19,76.93,49.1,0.691,Maharashtra,67.77
Tomato,Black soil,65.26,6.71,22.05,123.76,70.96,0.9,Bihar,0
Tomato,Alluvial soil,58.2,7.03,26.76,214.41,66.65,0.682,Maharashtra,0
Chickpea,Red and Yellow soil,39.96,6,24.89,58.63,70.03,0.651,Telangana,82.76
Wheat,Black soil,41.61,7.37,16.87,143.03,44.11,0.464,Maharashtra,95.87
Potato,Black soil,60.66,7.28,29.05,156.52,71.25,0.79,West Bengal,0
Cucumber,Black soil,88.08,7.53,25.39,261.18,78.54,0.719,Haryana,0
Rice,Red and Yellow soil,57.3,5.76,28.74,235.87,65.1,0.672,Rajasthan,182.66
Cucumber,Black soil,68.6,7.26,24.27,118.36,67.9,0.698,Rajasthan,92.88
Soybean,Forest and Mountain soil,45.66,7.5,19.11,118.64,64.6,0.724,Karnataka,0
Groundnut,Black soil,49.78,6.79,21.99,107.38,59.59,0.889,Punjab,0
Cucumber,Black soil,58.84,6.19,21.47,247.28,80.31,0.797,Maharashtra,0
Rice,Peaty and Marshy soil,79.06,5.99,27.32,240.25,71.76,0.613,Maharashtra,95.49
Onion,Alluvial soil,49.43,6.37,28.31,65.3,57.26,0.725,Rajasthan,99.24
Chilli,Black soil,60.26,6.12,28.35,120.19,79.04,0.679,Gujarat,0
Cucumber,Forest and Mountain soil,69.43,7.74,29.36,147.53,80,0.731,Haryana,0
Cotton,Alluvial soil,60.75,6.92,25.56,102.01,46.8,0.655,Karnataka,83.07
Sugarcane,Black soil,51.71,7.25,20.01,94.17,59.63,0.69,Gujarat,0
Sugarcane,Black soil,65.06,7.61,29.22,196.48,74.28,0.749,Andhra Pradesh,197.46
Cabbage,Alluvial soil,62.1,6.53,22.46,60.24,71.55,0.753,Madhya Pradesh,131.16
Cauliflower,Black soil,74.68,7.27,22.88,105.51,78.2,0.662,Bihar,105.77
Rice,Forest and Mountain soil,85.18,7.54,27.35,235,83.2,0.772,Tamil Nadu,0
Brinjal,Red and Yellow soil,58.81,6.22,23.36,236.23,71.92,0.702,Madhya Pradesh,0
Lentil,Alluvial soil,56.11,6.51,25.24,94.66,57.25,0.879,Punjab,0
Cucumber,Red and Yellow soil,59.85,7.48,25.67,245.4,76.5,0.843,Maharashtra,0
Groundnut,Red and Yellow soil,45.22,6.04,30.68,80.78,55.47,0.659,Madhya Pradesh,105.05
Mustard,Forest and Mountain soil,54.45,6.66,21.97,144.6,58.24,0.794,Gujarat,0
Cucumber,Forest and Mountain soil,58.07,7.61,20.67,240.85,70.21,0.696,Uttar Pradesh,0
Cucumber,Red and Yellow soil,63.28,5.85,28.78,52.52,61.27,0.763,Gujarat,129.79
Maize,Forest and Mountain soil,63.39,6.58,25.03,106.51,75.82,0.515,Madhya Pradesh,101.51
Cauliflower,Forest and Mountain soil,70.05,6.82,30.89,181.76,73.65,0.82,Tamil Nadu,0
Sugarcane,Black soil,74.4,7.76,24.06,174.58,72.29,0.757,Uttar Pradesh,194.74
Tomato,Alluvial soil,56.06,6.7,26.98,131.65,68.87,0.727,Madhya Pradesh,88.94
Tomato,Black soil,71.42,7.53,23.85,377.18,80.94,0.834,West Bengal,0
Pumpkin,Red and Yellow soil,45.37,6.46,26.71,106.51,76.94,0.655,Andhra Pradesh,124
Potato,Alluvial soil,69.08,6.64,17.22,64.99,52.8,0.684,Haryana,96.49
Tomato,Alluvial soil,93.1,7.71,24.32,302.88,81.63,0.796,Maharashtra,0
Wheat,Forest and Mountain soil,47.36,6.17,12.63,106.57,59.92,0.598,Rajasthan,99.32
Chilli,Alluvial soil,67.16,6.04,20.74,156.26,80.81,0.871,Gujarat,0
Tomato,Black soil,76.13,6.45,21.51,223.89,77.14,0.721,Uttar Pradesh,0
Lentil,Alluvial soil,51.16,7.51,26.1,161.51,59.56,0.713,Madhya Pradesh,0
Pumpkin,Red and Yellow soil,62.64,6.28,18.4,242.8,79.68,0.756,Uttar Pradesh,0
Cabbage,Alluvial soil,78.18,6.2,26.08,380.77,86.99,0.83,Gujarat,0
Pumpkin,Black soil,61.8,7.62,19.94,169.91,73.71,0.849,Tamil Nadu,0
Chilli,Black soil,49.82,7.39,27.2,91.74,64.92,0.689,Madhya Pradesh,102.27
Sugarcane,Alluvial soil,77.19,7.28,27.54,176.88,87.32,0.762,Bihar,204.23
Maize,Black soil,55.13,7.31,21.62,87.7,71.11,0.682,Haryana,0
Wheat,Alluvial soil,53.95,6.95,22.59,86.61,72.78,0.6,Karnataka,90.06
Chilli,Forest and Mountain soil,89.34,6.36,21.43,276.18,79.9,0.803,Haryana,0
Garlic,Black soil,66.22,6.46,19.45,179.62,72.43,0.898,Uttar Pradesh,0
Potato,Alluvial soil,61.34,6.72,28.72,143.37,65.32,0.725,Haryana,0
Sugarcane,Red and Yellow soil,86.79,6.44,28.29,230.59,86.23,0.86,Madhya Pradesh,0
Onion,Red and Yellow soil,65.45,6.11,26.76,208.47,67.74,0.764,Tamil Nadu,0
Potato,Red and Yellow soil,66.66,7.02,24.2,220.43,83.39,0.752,Karnataka,0
Rice,Red and Yellow soil,80.52,7.6,19.99,227.19,75.31,0.836,Gujarat,0
Maize,Forest and Mountain soil,60.48,7.47,20.85,129.55,69.32,0.66,Punjab,0
Chilli,Forest and Mountain soil,94.43,6.02,22.19,302.02,89.93,0.753,Karnataka,0
Cabbage,Forest and Mountain soil,83.5,6.63,25.89,310.4,76.32,0.673,Haryana,0
Cabbage,Forest and Mountain soil,83.43,7.11,19.48,334.73,76.63,0.738,Gujarat,0
Tomato,Red and Yellow soil,58.61,6.17,24.44,29.06,72.68,0.731,Uttar Pradesh,121.79
Onion,Alluvial soil,76.89,6.25,27.29,260.5,88.16,0.866,Gujarat,0
Potato,Red and Yellow soil,60.87,7.64,25.89,165.3,74.63,0.871,Uttar Pradesh,0
Soybean,Red and Yellow soil,90.3,6.14,28.48,277.19,88.51,0.89,Uttar Pradesh,0
Cauliflower,Forest and Mountain soil,74.68,6.45,20.12,390.07,85.87,0.82,Tamil Nadu,0
Garlic,Alluvial soil,64.63,6.91,18.7,187.44,69.89,0.674,Haryana,0
Onion,Alluvial soil,45.55,6.32,24.48,93.45,73.29,0.585,West Bengal,93
Pumpkin,Red and Yellow soil,45.6,6.46,28.94,93.96,59.06,0.871,Andhra Pradesh,128.12
Onion,Forest and Mountain soil,59.09,7.73,25.02,190.37,67.31,0.887,Tamil Nadu,0
Mustard,Forest and Mountain soil,72.61,6.61,20.08,238.35,93.8,0.875,Maharashtra,0
Groundnut,Alluvial soil,45.16,6.78,30.91,32.92,41.08,0.585,Uttar Pradesh,107.14
Cauliflower,Black soil,86.04,7.11,27.15,370.3,77.57,0.679,Maharashtra,0
Cucumber,Black soil,66.2,7.07,24.87,80.31,72.93,0.888,Telangana,104.14
Brinjal,Alluvial soil,65.44,7.48,20.92,220.86,67.8,0.881,Gujarat,0
Onion,Forest and Mountain soil,74.56,7.14,23.18,344.42,78.19,0.859,West Bengal,0
Cauliflower,Alluvial soil,66.08,6.44,18.37,82.55,67.66,0.685,Karnataka,124.86
