farm_id,region,soil_type,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,recommended_irrigation_mm,sowing_date,harvest_date,crop_growth_days,NDVI_index
IND00098,Odisha,Alluvial,Wheat,33.4,7.3,35.8,22.3,79.3,24.4,18-11-2024,19-02-2025,93,0.55
IND00099,Kerala,Laterite,Rice,27.7,7.7,33.2,228.8,52.4,9,25-01-2024,26-05-2024,122,0.84
IND00100,Kerala,Laterite,Groundnut,26.3,7.1,36.3,134.5,64.8,3.4,19-08-2024,18-12-2024,121,0.69
IND00101,Telangana,Red,Maize,40.5,6.8,26,138.7,66,0,16-01-2024,29-05-2024,134,0.41
IND00102,West Bengal,Alluvial,Wheat,18,6.2,28.8,244,43.2,0,01-05-2024,02-10-2024,154,0.51
IND00103,West Bengal,Laterite,Rice,34.5,6.2,24.6,212.2,73.9,16,09-06-2024,16-10-2024,129,0.39
IND00104,Haryana,Alluvial,Pulses,40.5,6.2,31.8,294.3,61.9,19.4,17-11-2024,10-04-2025,144,0.52
IND00105,Uttar Pradesh,Alluvial,Wheat,29.9,6.7,20.2,126.5,64.8,37.8,05-05-2024,22-09-2024,140,0.42
IND00106,Maharashtra,Red,Maize,22.9,6.8,24.4,46.6,63.7,18.6,10-09-2024,12-12-2024,93,0.61
IND00107,Tamil Nadu,Red,Groundnut,14,6.7,27.8,268.6,65.9,28.4,15-09-2024,22-02-2025,160,0.49
IND00108,Telangana,Red,Pulses,34.5,6.5,23.7,137.4,48.9,0,06-11-2024,31-01-2025,86,0.46
IND00109,West Bengal,Alluvial,Sugarcane,26,6.9,32.4,247.4,84.8,3.4,07-03-2024,25-07-2024,140,0.38
IND00110,Kerala,Laterite,Rice,43.5,7,24.6,26.4,55.4,34.3,17-12-2024,17-05-2025,151,0.89
IND00111,Gujarat,Black,Wheat,42.8,7.3,34.7,136.8,76.6,31.9,20-12-2024,02-05-2025,133,0.63
IND00112,Telangana,Black,Cotton,40.9,7.2,20,59.7,75.1,19.9,10-01-2024,14-05-2024,125,0.59
IND00113,Uttar Pradesh,Alluvial,Rice,36.1,7.4,33.1,78,48.7,6,11-02-2024,03-07-2024,143,0.72
IND00114,Bihar,Alluvial,Sugarcane,34.5,7.5,25.1,20.8,62.9,32.8,21-08-2024,26-12-2024,127,0.81
IND00115,Maharashtra,Black,Sugarcane,19.1,6.8,28,223.9,83.5,18.8,19-05-2024,15-08-2024,88,0.41
IND00116,Kerala,Laterite,Rice,12.7,7.3,22.4,264.3,40.7,26.9,06-09-2024,05-01-2025,121,0.47
IND00117,Andhra Pradesh,Red,Pulses,17.3,6.6,36.7,147.7,42.4,13.6,11-12-2024,29-03-2025,108,0.75
IND00118,Andhra Pradesh,Black,Sugarcane,40.1,6.5,28.6,141.6,73.1,22.3,21-04-2024,13-09-2024,145,0.47
IND00119,Tamil Nadu,Red,Pulses,35.9,6.1,27.2,274,62.5,16.6,15-02-2024,18-05-2024,93,0.61
IND00120,Telangana,Red,Groundnut,29.4,6.3,37.4,216.2,63.8,20.3,14-06-2024,23-09-2024,101,0.9
IND00121,Telangana,Black,Wheat,28.6,6.2,39.2,47.5,44.1,32.5,16-04-2024,11-07-2024,86,0.82
IND00122,Tamil Nadu,Black,Sugarcane,20.2,7.1,31.8,86.7,65.1,36.9,06-08-2024,31-10-2024,86,0.61
IND00123,Andhra Pradesh,Red,Millet,18.4,6.3,35.3,204.1,75,34,02-07-2024,25-10-2024,115,0.7
IND00124,Punjab,Alluvial,Pulses,40.7,7.2,28.9,70.7,67.5,32.5,06-08-2024,27-12-2024,143,0.38
IND00125,Rajasthan,Desert,Millet,20.2,6.9,27.8,210.8,55.4,0,21-07-2024,18-10-2024,89,0.4
IND00126,Karnataka,Laterite,Rice,42.9,6.9,18.7,272.3,58.6,18.8,17-11-2024,09-04-2025,143,0.72
IND00127,Punjab,Alluvial,Wheat,42.7,7.5,36.9,294.8,66.1,18.7,08-06-2024,09-09-2024,93,0.56
IND00128,Bihar,Alluvial,Rice,19.4,7.1,39.5,57.4,68.3,14.2,06-08-2024,13-01-2025,160,0.47
IND00129,Tamil Nadu,Red,Millet,28.8,6.7,27.9,41.5,52.2,43.1,04-08-2024,09-01-2025,158,0.53
IND00130,Odisha,Alluvial,Sugarcane,23.9,6,29.4,299.5,58.9,19.4,17-09-2024,23-02-2025,159,0.49
IND00131,Haryana,Alluvial,Maize,27.8,7.1,34.5,23.4,85.8,32.9,04-12-2024,02-04-2025,119,0.84
IND00132,Odisha,Alluvial,Sugarcane,15.2,6.6,37.6,118.3,64.4,24.2,23-12-2024,26-03-2025,93,0.64
IND00133,Gujarat,Alluvial,Wheat,24.9,7.7,19,259.1,42.2,1.2,12-04-2024,17-09-2024,158,0.55
IND00134,Andhra Pradesh,Black,Cotton,16.4,7.4,31.6,116,64.2,27.8,21-10-2024,07-02-2025,109,0.65
IND00135,Tamil Nadu,Black,Sugarcane,28,7.3,36.3,223.2,76.7,0,09-03-2024,08-06-2024,91,0.55
IND00136,Bihar,Alluvial,Rice,31.2,6.9,38,250.5,64.8,0,25-04-2024,19-08-2024,116,0.58
IND00137,Punjab,Alluvial,Rice,28.3,7.6,38.9,176.8,78.3,15.1,16-06-2024,24-09-2024,100,0.68
IND00138,Uttar Pradesh,Alluvial,Sugarcane,34.5,6.7,34.7,35.7,49.1,26.4,17-11-2024,15-04-2025,149,0.89
IND00139,Gujarat,Alluvial,Rice,19.2,6.2,20.3,93.6,52.7,14.9,09-08-2024,23-11-2024,106,0.42
IND00140,Gujarat,Alluvial,Rice,41.1,7.4,32.7,246.1,40.5,21.6,15-03-2024,25-07-2024,132,0.8
IND00141,Kerala,Laterite,Rice,34.8,6.6,27.3,23.4,64,19.4,24-06-2024,23-11-2024,152,0.49
IND00142,Uttar Pradesh,Alluvial,Pulses,43.7,6.4,20.9,191,40.5,24.7,05-03-2024,28-06-2024,115,0.65
IND00143,Madhya Pradesh,Red,Maize,26.6,7.1,23.7,235.6,61.5,15.6,24-05-2024,07-09-2024,106,0.8
IND00144,Bihar,Alluvial,Sugarcane,40,7,36.1,89.3,47.6,2.7,14-01-2024,04-06-2024,142,0.75
IND00145,Karnataka,Black,Wheat,27.9,6.3,36.7,52.3,78.8,34,08-12-2024,26-03-2025,108,0.62
IND00146,Punjab,Alluvial,Pulses,23.3,7.7,36.1,227.3,87.8,26.2,16-08-2024,11-12-2024,117,0.45
IND00147,West Bengal,Alluvial,Wheat,13.4,7.5,28.6,71.5,65.7,47.7,18-01-2024,25-04-2024,98,0.47
IND00148,Odisha,Alluvial,Maize,31.6,6.2,31.9,136.2,78.2,30.2,01-03-2024,16-06-2024,107,0.59
IND00149,Madhya Pradesh,Black,Wheat,29.6,7.5,28.8,178.2,70.1,0,10-11-2024,09-04-2025,150,0.66
IND00150,Andhra Pradesh,Black,Wheat,29.6,6.8,38.5,199.6,49.2,27,19-12-2024,09-05-2025,141,0.81
IND00151,Tamil Nadu,Black,Cotton,14,7.7,24,58.6,50.2,17.4,14-03-2024,23-07-2024,131,0.88
IND00152,Rajasthan,Desert,Millet,18,6.8,20.9,174.5,44.4,29.9,01-03-2024,17-06-2024,108,0.53
IND00153,Tamil Nadu,Laterite,Rice,24.3,6.7,30.5,135.5,47.1,2.3,23-03-2024,08-07-2024,107,0.4
IND00154,Bihar,Alluvial,Sugarcane,24.8,7.7,33.2,204.8,58.6,13.1,02-03-2024,03-08-2024,154,0.73
IND00155,Odisha,Alluvial,Wheat,15.9,6.1,33.7,243.6,48,4.4,04-02-2024,19-05-2024,105,0.57
IND00156,Rajasthan,Desert,Millet,23,6.1,35.8,47.7,41.5,25.5,15-11-2024,23-02-2025,100,0.64
IND00157,Maharashtra,Red,Millet,32.3,6.2,33.8,173.9,43.6,4.9,23-03-2024,05-07-2024,104,0.39
IND00158,Rajasthan,Alluvial,Pulses,26.2,7.7,19.5,181.5,89.4,10.5,18-05-2024,13-10-2024,148,0.73
IND00159,Uttar Pradesh,Alluvial,Sugarcane,26.7,7.5,36.7,177.5,82.4,33.4,08-10-2024,07-02-2025,122,0.43
IND00160,Telangana,Red,Groundnut,18.3,6.8,24.8,43.1,73.3,17.8,02-12-2024,01-05-2025,150,0.9
IND00161,Madhya Pradesh,Red,Pulses,28.3,7.7,22.9,78.7,59.6,13.3,05-02-2024,05-07-2024,151,0.54
IND00162,Andhra Pradesh,Black,Wheat,25.4,7.5,30,228.8,49.4,0,18-12-2024,26-03-2025,98,0.78
IND00163,Karnataka,Red,Maize,37.7,6.9,30.7,50.7,58.8,24.7,11-10-2024,06-01-2025,87,0.72
IND00164,Andhra Pradesh,Red,Maize,36.3,7.7,36,194.8,65.1,26.5,10-03-2024,01-07-2024,113,0.66
IND00165,Bihar,Alluvial,Wheat,38.6,6.7,37.9,38.1,84.8,23.4,07-03-2024,14-08-2024,160,0.47
IND00166,Bihar,Alluvial,Wheat,43.1,7.1,35.5,218.1,42.4,0,19-09-2024,19-12-2024,91,0.79
IND00167,Odisha,Alluvial,Rice,43.8,6.7,27.5,176.5,41.4,25.4,15-10-2024,24-03-2025,160,0.87
IND00168,Tamil Nadu,Black,Cotton,20.1,7,27,105.7,78.1,16.2,12-02-2024,01-06-2024,110,0.52
IND00169,Gujarat,Black,Wheat,26.6,7.3,27.4,98.8,46.7,13.4,10-06-2024,07-10-2024,119,0.67
IND00170,Haryana,Alluvial,Sugarcane,34.2,7.7,22.7,185.8,76.4,20.7,01-02-2024,20-05-2024,109,0.71
IND00171,Rajasthan,Desert,Millet,33.8,7.5,28.6,196.5,43.4,22.4,23-05-2024,20-09-2024,120,0.86
IND00172,Bihar,Alluvial,Rice,30.7,7.2,18.5,260.9,42.4,0,09-03-2024,11-07-2024,124,0.56
IND00173,Rajasthan,Alluvial,Wheat,38.3,7.5,21.9,232.2,42.6,0,24-11-2024,13-03-2025,109,0.78
IND00174,Karnataka,Black,Wheat,27.9,6.5,30.9,51.6,69.7,43.9,06-08-2024,24-11-2024,110,0.61
IND00175,Rajasthan,Desert,Millet,17,6,36.5,263,46.7,0,10-08-2024,10-01-2025,153,0.56
IND00176,Telangana,Black,Wheat,17.1,7.2,27.7,123.1,67.1,26.3,18-11-2024,08-04-2025,141,0.78
IND00177,Karnataka,Black,Sugarcane,30.8,6,22.8,131,48.4,24.8,01-01-2024,15-04-2024,105,0.62
IND00178,Punjab,Alluvial,Sugarcane,26.4,6.1,39.5,278,76.2,6.8,15-12-2024,08-04-2025,114,0.51
IND00179,Uttar Pradesh,Alluvial,Sugarcane,24.8,6.9,27.3,206,70.1,28.6,24-06-2024,17-09-2024,85,0.61
IND00180,Karnataka,Black,Wheat,36.5,7.6,25,190.9,84.5,11.9,17-11-2024,12-02-2025,87,0.62
IND00181,Andhra Pradesh,Black,Sugarcane,13.6,6.1,38.5,90.5,75.3,45.1,13-04-2024,05-09-2024,145,0.87
IND00182,Telangana,Red,Pulses,39.1,6.5,23.8,255.4,70.4,19.2,14-07-2024,04-11-2024,113,0.68
IND00183,Madhya Pradesh,Red,Groundnut,32.1,6.8,24.3,69.2,46.7,2.8,11-03-2024,20-07-2024,131,0.49
IND00184,Punjab,Alluvial,Pulses,19.3,7.5,25.7,285.8,83.8,24.9,05-12-2024,31-03-2025,116,0.83
IND00185,Gujarat,Alluvial,Maize,23.4,7.4,21.9,274.8,84.6,0,24-04-2024,26-07-2024,93,0.72
IND00186,Uttar Pradesh,Alluvial,Maize,20.7,6,19.8,25.9,54.5,26,15-06-2024,24-10-2024,131,0.56
IND00187,Punjab,Alluvial,Maize,17.9,6.1,36.6,98.9,65.7,28.3,11-05-2024,03-10-2024,145,0.42
IND00188,West Bengal,Alluvial,Sugarcane,28.5,6.1,18.9,39.2,54.3,34.1,23-05-2024,08-09-2024,108,0.7
IND00189,Gujarat,Alluvial,Pulses,24.9,6.8,20.5,75.1,58.7,18.7,21-08-2024,19-11-2024,90,0.71
IND00190,Rajasthan,Alluvial,Sugarcane,42.5,6.5,28.7,231.1,71.5,0,24-03-2024,21-07-2024,119,0.37
IND00191,Tamil Nadu,Laterite,Groundnut,26.3,6.5,26.9,84.6,41.1,10.7,25-12-2024,15-04-2025,111,0.42
IND00192,Telangana,Black,Sugarcane,35.5,6.4,24.4,152.1,72,14.4,24-04-2024,23-07-2024,90,0.64
IND00193,West Bengal,Laterite,Groundnut,41.6,6.3,37.7,268,85.1,20.5,20-12-2024,19-05-2025,150,0.8
IND00194,Odisha,Alluvial,Pulses,30.3,7.6,25.2,172.3,50.7,0,08-07-2024,01-10-2024,85,0.58
IND00195,Odisha,Laterite,Groundnut,42.9,6.9,34.7,186.1,41.9,0,16-10-2024,27-02-2025,134,0.79
IND00196,Tamil Nadu,Black,Cotton,45,7.1,24.3,230.3,52,1,11-01-2024,28-04-2024,108,0.36
IND00197,Maharashtra,Red,Millet,27.5,6.7,23.1,198.3,86.7,7.1,08-06-2024,10-11-2024,155,0.48
IND00198,Karnataka,Laterite,Rice,34.3,6.2,24.7,40.8,63.4,29.6,21-06-2024,30-10-2024,131,0.87
IND00199,Karnataka,Laterite,Groundnut,34,6.7,34.9,27.1,73,37,20-08-2024,09-01-2025,142,0.39
IND00200,Gujarat,Alluvial,Rice,13.9,6.2,25.3,243.6,40.5,28.2,16-10-2024,11-02-2025,118,0.75
IND00201,Rajasthan,Desert,Millet,24.6,6,32.8,39.8,49.6,31.4,13-01-2024,18-04-2024,96,0.6
IND00202,Maharashtra,Laterite,Groundnut,41.3,7.4,21,140.3,40.8,3.9,15-11-2024,09-03-2025,114,0.8
IND00203,Maharashtra,Black,Wheat,42.3,7.5,34.5,233.2,63.2,16.5,13-04-2024,28-08-2024,137,0.8
IND00204,Haryana,Alluvial,Wheat,19.1,7.3,18.3,57.8,42.4,46.4,10-07-2024,02-12-2024,145,0.85
IND00205,Maharashtra,Black,Wheat,35.2,6,38.1,92.5,78.5,12.6,18-02-2024,02-07-2024,135,0.6
IND00206,Punjab,Alluvial,Pulses,41.1,6.5,24.9,110.2,56,5.9,02-01-2024,20-05-2024,139,0.71
IND00207,Gujarat,Alluvial,Rice,33.2,6.5,19.1,225.1,59.5,0,02-09-2024,23-01-2025,143,0.4
IND00208,Bihar,Alluvial,Pulses,43,6.5,31.8,219.6,56.2,14.3,03-02-2024,30-05-2024,117,0.56
IND00209,Punjab,Alluvial,Rice,23.7,6.6,37.7,47.2,53,45,09-01-2024,27-05-2024,139,0.72
IND00210,Madhya Pradesh,Red,Maize,24.8,6.8,18.2,253.4,40,10.8,22-12-2024,16-05-2025,145,0.78
IND00211,Andhra Pradesh,Black,Wheat,33.5,7.1,30.3,33.2,44.2,5.1,11-06-2024,01-11-2024,143,0.39
IND00212,Karnataka,Black,Sugarcane,31.8,6.2,25.7,299.2,80.2,17.1,02-01-2024,04-05-2024,123,0.56
IND00213,Kerala,Laterite,Rice,18.9,7.6,35.3,164.4,66.3,36.8,16-12-2024,06-04-2025,111,0.7
IND00214,Telangana,Black,Sugarcane,20.9,6.5,18.7,70.4,89.2,22.8,11-09-2024,15-12-2024,95,0.88
IND00215,Punjab,Alluvial,Sugarcane,44.8,6.4,26.3,140.5,50.7,25.4,18-07-2024,18-12-2024,153,0.74
